yf_ticker,close,obv,obv_slope_20d,obv_slope_50d,obv_slope_200d,obv_52w_range_pct,obv_52w_high,obv_26w_high,obv_slope_13w,obv_slope_26w,obv_price_divergence,price_52w_range_pct,range_position_divergence,price_chg_13w,obv_acceleration_quiet_base,obv_acceleration_basis,obv_slope_42d,obv_slope_42d_recent_high,obv_calm_current_ratio,price_chg_42d,obv_calm_continuation,obv_calm_continuation_basis,avg_daily_traded_value,daily_macd,daily_signal,daily_hist,macd_early_bullish,macd_early_bearish,weekly_macd,weekly_signal,weekly_hist,weekly_macd_positive,supertrend_10_3_value,supertrend_10_3_dir,supertrend_2_1_value,supertrend_2_1_dir,supertrend_weekly_dir,supertrend_weekly_value,ema10,ema20,early_ema_alignment,rs_score,rs_nifty_52w_high,rs_nifty_chg_13w,rs_nifty_chg_26w,rs_sector_52w_high,rs_sector_chg_13w,rs_sector_chg_26w,sector_index_source,pct_from_52w_high,near_52w_high,near_breakout_15pct,atr_compression_ratio,atr_compression_percentile,range_compression_ratio,volatility_compression,monthly_macd,monthly_signal,monthly_hist,monthly_ema20,monthly_ema50,monthly_bullish,ticker,name,sector,ticker_fund,sales_cagr,profit_cagr,roce,debt_equity,data_quality,eps_growth_latest_qtr,eps_growth_prev_qtr,eps_acceleration,revenue_growth_latest_qtr,revenue_growth_prev_qtr,revenue_acceleration,earnings_data_quality,peg_ratio,ev_ebitda,fcf_latest,fcf_trend_pct,gross_margin_trend,operating_margin_trend,garp_data_quality,fundamentally_qualified,score_obv,score_macd_weekly,score_macd_daily,score_trend,score_rs,composite_score,category,elite_score_obv,elite_score_rs,elite_score_macd_early,elite_score_ema_alignment,elite_score_compression,elite_score_supertrend,elite_score_weekly_macd,elite_score_above_ema20,elite_score_fundamentals,EliteCompounderScore,elite_category,flag_obv_leader,flag_rs_leader,flag_early_macd,flag_compression,flag_ema_alignment,flag_near_breakout,RS_vs_Broad_Index_pct,rs_rank,rs_rank_score,flag_rs_top_decile,trend_birth_flag,trend_birth_score,flag_trend_birth,monthly_trend_score,flag_monthly_bullish,sector_rank,sector_leader_score,flag_sector_leader,trend_death_flag,trend_death_score,flag_trend_death,flag_bullish_obv_divergence,obv_leadership_rank,flag_obv_leadership_top_decile,mf_holding_pct,fii_holding_pct,mf_holding_pct_prev_qtr,fii_holding_pct_prev_qtr,mf_holding_increasing,fii_holding_increasing,mf_holding_change_qoq,fii_holding_change_qoq,mf_increasing_2q_streak,fii_increasing_2q_streak,shareholding_quarter_end,shareholding_data_quality,flag_mf_increasing,flag_fii_increasing,institutional_accumulation_score,flag_institutional_accumulation,earnings_acceleration_score,flag_earnings_accelerating,universe
PTCIL.NS,23730.0,2682110.0,1.2460167172589394,0.7114884475709574,0.14170478768321695,98.35385254809893,0.0,0.0,0.45787051553603625,0.3131315629269875,-0.44698465694050027,99.02987970508343,-0.6760271569845031,29.87084063047285,,neither,0.8465279806381336,0.8465279806381336,1.0,36.740809035380884,,obv_still_strong,1159736648.7,1326.1776616625393,1062.5398549942638,263.6378066682755,0.0,0.0,1453.4071098727327,792.9573011331115,660.4498087396212,1.0,21280.76691369172,1.0,23152.45630979769,1.0,1.0,19792.40438493041,22550.761469789995,21435.860056780617,1.0,32.35447513079489,0.0,24.94763803705382,41.65852102886323,0.0,24.94763803705382,41.65852102886323,FALLBACK_BROAD_INDEX,-0.41963911036508605,1.0,1.0,1.4455577951976197,98.80952380952381,0.6783216783216783,0.0,2511.4633536818073,2170.689856855763,340.77349682604427,16788.71332815213,12820.021016524492,1.0,PTCIL,PTC Industries Ltd.,Capital Goods,PTCIL.NS,41.0027173142532,57.863274551411514,7.998650470822036,0.17340600045159282,ok,226.3071895424836,1.240694789081889,225.0664947534017,44.965258467103396,24.80144497028696,20.163813496816438,ok,4.4282106739800735,,,,,,missing,False,96.50384839183462,99.88,100.0,100.0,93.60000000000001,97.96715451755038,Watch,10.0,10.0,0.0,5.0,0.0,10.0,9.988,5.0,0.0,49.988,Below Watchlist,,,,,🟢,🟢,32.35447513079489,93.60000000000001,10,🟢,0.0,0.0,,10,🟢,13.0,0,,0.0,0.0,,,87.2,,6.76,3.9600000000000004,,,,,,,,,31-MAR-2026,ok,,,,,20.0,🟢,NSE500
SAILIFE.NS,1647.0999755859375,12108929.0,3.0201116030638975,3.734483940871035,0.414254396341449,99.65846357187118,0.0,0.0,3.757396164914722,0.48379060923218864,0.0,100.0,-0.3415364281288191,33.94324152133943,🟢,accelerating_but_price_moved,3.9031853292598564,4.148337151083229,0.9409035927180225,30.20553166687252,,obv_still_strong,1099202218.948993,64.72600592863546,54.225935155909355,10.500070772726104,0.0,0.0,145.27773198082218,114.08237236438586,31.19535961643632,1.0,1451.3252186318505,1.0,1549.1476645137534,1.0,1.0,1327.3717778133146,1551.74775568374,1499.8390087965595,1.0,35.07267064525512,1.0,30.832911492146952,83.2377141824821,0.0,21.026433617459418,47.761868835488386,^CNXPHARMA,0.0,1.0,1.0,1.5379394787312453,95.0,0.5641494989924499,0.0,173.7205193837524,100.5428323447853,73.1776870389671,1067.0043991434322,905.2332631831097,1.0,SAILIFE,Sai Life Sciences Ltd.,Healthcare,SAILIFE.NS,,,,,missing,,,,,,,missing,,,,,,,missing,False,99.2704622501549,94.96000000000001,97.0,100.0,94.6,97.51313867504646,Watch,10.0,15.0,0.0,5.0,0.0,10.0,9.496,5.0,0.0,54.496,Category C: Watchlist,,🟢,,,🟢,🟢,35.07267064525512,94.6,10,🟢,0.0,0.0,,10,🟢,5.0,0,,0.0,0.0,,,100.0,🟢,27.800000000000004,21.17,,,,,,,,,31-MAR-2026,ok,,,,,,,NSE500
DIVISLAB.NS,9575.0,45517559.0,0.6635495771489327,0.7272713163123183,0.09365124113960638,100.0,1.0,1.0,0.6311231054902507,0.2744072407667766,0.0,100.0,0.0,42.373527654534506,🟢,accelerating_but_price_moved,0.6843855810259641,0.7668245101139328,0.8924930958770213,40.644883932611584,,obv_still_strong,4029568954.05,379.74961763992906,375.4498188434176,4.299798796511482,0.0,0.0,737.1910457449167,487.6143190293381,249.57672671557856,1.0,8786.921042438149,1.0,9155.852203166243,1.0,1.0,8108.297340124338,9193.795394383387,8917.619521445387,1.0,34.313940348317395,0.0,38.776638655253606,56.726076522076795,1.0,28.374744965240172,26.383032365778103,^CNXPHARMA,0.0,1.0,1.0,1.3830526075975618,98.80952380952381,0.7759981053308208,0.0,901.7546989307548,629.9822391863759,271.7724597443789,6818.709448431248,5726.02653010362,1.0,DIVISLAB,Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS,10.975670295672879,12.078780055201644,18.96053362979433,0.0004176361792255832,ok,28.79890809827115,7.271839921913139,21.52706817635801,8.717357910906298,8.049792531120332,0.667565379785966,ok,7.240167434155672,,,,,,missing,False,95.94999999999999,99.4,92.2,100.0,94.19999999999999,96.625,Watch,20.0,15.0,0.0,5.0,0.0,10.0,9.940000000000001,5.0,0.0,64.94,Category C: Watchlist,🟢,🟢,,,🟢,🟢,34.313940348317395,94.19999999999999,10,🟢,0.0,0.0,,10,🟢,1.0,15,🟢,0.0,0.0,,,89.8,,13.420000000000002,20.29,,,,,,,,,31-MAR-2026,ok,,,,,10.0,,NSE500
LENSKART.NS,695.75,449443369.0,2.384071342912409,1.1412594433882084,1.0424782990082762,100.0,1.0,1.0,1.09659957602872,1.2482463984814438,0.0,100.0,0.0,38.21017251404042,,neither,1.3361273886564944,2.341481232823097,1.0,27.977553344151595,,obv_still_strong,9589051698.067276,28.51314310315138,26.64121034449829,1.871932758653088,0.0,0.0,47.532652533859505,32.61612568046555,14.916526853393954,1.0,629.5269564604173,1.0,674.4674801119664,1.0,1.0,570.44449371464,670.3597790527319,648.5703761429361,1.0,30.853124402944967,1.0,33.491276805975524,45.86662218657076,0.0,-7.4058355712404484,24.408065229846176,^CNXCONSUM,0.0,1.0,1.0,,,,,54.755656446772264,30.367008989247996,24.388647457524268,506.0045495052814,456.3467536732559,1.0,LENSKART,Lenskart Solutions Ltd.,Consumer Services,LENSKART.NS,35.381064404509566,66.99335902215577,7.213177817637086,0.35436197310960643,ok,50.64935064935063,-39.43469762576149,90.08404827511211,9.012228894962195,33.58256602196497,-24.570337127002777,ok,2.6121992172705464,,,,,,missing,False,98.53999999999999,91.0,86.8,100.0,92.4,94.64200000000001,Watch,20.0,12.5,0.0,5.0,,10.0,9.1,5.0,0.0,61.6,Category C: Watchlist,🟢,🟢,,,🟢,🟢,30.853124402944967,92.4,10,🟢,0.0,0.0,,10,🟢,1.0,15,🟢,0.0,0.0,,,99.2,🟢,6.43,4.26,,,,,,,,,31-MAR-2026,ok,,,,,10.0,,NSE500
WELCORP.NS,,510086094.0,0.3876577287386209,0.20763842047111158,0.0849576254240297,100.0,1.0,1.0,0.1849301830437641,0.1258112623650306,1.7044501124026572,97.7264811203059,2.2735188796940946,93.56350738742059,,neither,0.22264125807698706,0.22264125807698706,1.0,62.17615723515586,,no_obv_signal,6964347862.100122,223.69944044204203,204.54950941157324,19.149931030468792,0.0,0.0,369.00656700149693,266.3961497052283,102.61041729626862,1.0,,1.0,,1.0,1.0,2081.862728426474,2464.6485312618743,2286.6816053251155,1.0,119.11055054148244,0.0,84.42652917670964,250.35898594685665,0.0,84.42652917670964,250.35898594685665,FALLBACK_BROAD_INDEX,-1.6543077565477393,1.0,1.0,2.7801562614963156,99.20634920634922,0.691121328945242,0.0,375.34389564471417,215.20830016534632,160.13559547936785,1274.340960437055,855.7622460252124,1.0,WELCORP,Welspun Corp Ltd.,Capital Goods,WELCORP.NS,,,,,missing,,,,,,,missing,,,,,,,missing,False,89.21000000000001,98.8,98.0,85.0,100.0,93.223,Watch,20.0,10.0,0.0,5.0,0.0,10.0,9.879999999999999,0.0,0.0,54.879999999999995,Category C: Watchlist,🟢,,,,🟢,🟢,119.11055054148244,100.0,15,🟢,,,,10,🟢,9.0,0,,,,,,66.0,,9.86,11.23,,,,,,,,,31-MAR-2026,ok,,,,,,,NSE500
CRISIL.NS,4754.5,11099983.0,0.3864388148622355,0.31938960276047185,0.0764158054715716,97.70393713247105,0.0,0.0,0.2582125716878301,0.1300861595873195,23.007756821229634,80.61050995352464,17.093427178946413,23.48316246083535,,neither,0.31314219320751213,0.3261873895982073,0.9600070486882891,16.304538416076507,,no_obv_signal,246150135.42407227,106.6022014983937,99.33890120369851,7.263300294695185,0.0,0.0,111.96639368724573,23.184320740957464,88.78207294628827,1.0,4474.6613506566155,1.0,4703.085274347946,1.0,1.0,4008.339269015956,4723.575969161466,4642.392682684014,1.0,14.746092070598172,0.0,21.54014859788589,14.348818216958037,,,,^CNXFIN,-5.111452833535054,1.0,1.0,1.0362275758125836,97.61904761904762,0.770808431845385,0.0,18.47137288025624,38.06484476318126,-19.593471882925023,4475.727688113181,4183.407345299778,0.0,CRISIL,CRISIL Ltd.,Financial Services,CRISIL.NS,9.639068869799017,10.718036765453377,31.037995819759228,0.09784600981064402,ok,-7.210031347962374,-3.39188370684435,-3.818147641118024,1.6763421137227466,-2.2106752221307913,3.887017335853538,ok,3.453335607067619,,,,,,missing,False,90.61637799636486,98.32,95.6,100.0,76.2,92.61891339890946,Watch,10.0,5.0,0.0,5.0,0.0,10.0,9.831999999999999,5.0,0.0,44.832,Below Watchlist,,,,,🟢,🟢,14.746092070598172,76.2,0,,0.0,0.0,,0,,11.0,0,,0.0,0.0,,🟢,72.39999999999999,,6.950000000000001,0.0,,,,,,,,,31-MAR-2026,ok,,,,,0.0,,NSE500
ACMESOLAR.NS,412.6000061035156,158529262.0,0.8777443812078414,0.3440916254976567,0.7031711057100696,97.72237604931321,0.0,0.0,0.4225425571941548,0.6356646664715674,-0.3518800453193458,97.53667006160448,0.18570598770872948,18.325205523235113,,neither,0.3960993336902036,2.256183933024205,1.0,9.44297244125083,,obv_still_strong,880920105.2539123,10.116625252646884,8.576315627403474,1.5403096252434096,0.0,0.0,34.53752950262799,31.33446681482661,3.2030626878013813,1.0,365.56345494538436,1.0,397.9259254711325,1.0,1.0,320.0076158855601,404.4406317401414,396.25640713001656,1.0,39.439527054950105,0.0,13.832576133753992,89.27188095757388,0.0,13.832576133753992,89.27188095757388,FALLBACK_BROAD_INDEX,-1.2918645685369319,1.0,1.0,1.4265523359840573,96.05911330049261,0.44085226606695116,0.0,31.814887344638237,13.215742199949005,18.59914514468923,304.2661910213859,281.9398491918683,1.0,ACMESOLAR,ACME Solar Holdings Ltd.,Power,ACMESOLAR.NS,16.048588113713592,,7.108220132977096,3.9309226033007723,ok,61.67400881057268,21.390374331550795,40.283634479021885,56.54036015247331,10.298778547869405,46.24158160460391,ok,,,,,,,missing,False,93.45283161725962,79.24000000000001,85.39999999999999,100.0,96.39999999999999,91.15384948517789,Watch,10.0,10.0,0.0,5.0,0.0,10.0,7.924000000000001,5.0,0.0,47.924,Below Watchlist,,,,,🟢,🟢,39.439527054950105,96.39999999999999,15,🟢,0.0,0.0,,10,🟢,1.0,15,🟢,0.0,0.0,,,91.60000000000001,🟢,16.06,0.0,,,,,,,,,04-JUN-2026,ok,,,,,20.0,🟢,NSE500
CGCL.NS,270.75,373983483.0,1.6558015820965217,0.17815794543882563,0.08144916552019227,90.3342504539279,0.0,0.0,0.11481295317760175,0.11598502617781381,0.5845919154894439,92.85390397803643,-2.5196535241085343,33.3412689394964,,neither,0.41486833113126625,0.41486833113126625,1.0,7.425840581178966,,no_obv_signal,1899783196.6384194,10.534125305473907,6.799802705111805,3.734322600362102,0.0,0.0,19.506233391679643,15.50347912198836,4.002754269691284,1.0,242.38159066082767,1.0,265.9362650244557,1.0,1.0,212.81894691674648,262.02013268556766,252.35643339558104,1.0,46.97777422452106,0.0,33.70692989672628,74.0956343946665,,,,^CNXFIN,-3.2690225423400063,1.0,1.0,1.8115365788747717,99.60317460317461,0.6565656928052926,0.0,-23.299771972171328,-46.93481403275448,23.635042060583153,224.00158716519186,312.1848292379645,0.0,CGCL,Capri Global Capital Ltd.,Financial Services,CGCL.NS,48.58334472377841,66.76510321181166,3.2591988300158046,3.3472846457545518,ok,24.914675767918087,10.566037735849067,14.34863803206902,15.016083814716922,22.895077965690547,-7.878994150973625,ok,0.2989453328137589,,,,,,missing,False,87.91698765887476,81.28,91.2,100.0,98.4,91.07109629766242,Watch,10.0,5.0,0.0,5.0,0.0,10.0,8.128,5.0,0.0,43.128,Below Watchlist,,,,,🟢,🟢,46.97777422452106,98.4,15,🟢,0.0,0.0,,0,,16.0,0,,0.0,0.0,,,57.99999999999999,,7.049999999999999,5.62,,,,,,,,,31-MAR-2026,ok,,,,,5.0,,NSE500
AEGISVOPAK.NS,290.6499938964844,109568635.0,0.19520084540745564,0.5362880854223628,0.7686303598278289,100.0,1.0,1.0,0.9295090966151696,0.9426594090797905,9.89953301071305,90.95503151779431,9.04496848220569,51.750992478031876,,neither,0.27554124248478207,1.9381100902380075,0.19360765345483102,2.637898655946258,,price_not_rising,216957910.82386932,2.5789560582213085,0.44715060898963466,2.131805449231674,0.0,0.0,18.20561787813628,14.124586045299973,4.081031832836308,1.0,258.58018006427653,1.0,278.7661513279854,1.0,1.0,212.32738711488417,280.68928807128856,278.12505508693175,1.0,32.07659797723577,0.0,47.53891208920413,29.836793866649014,0.0,36.64097897293812,0.7536153811076085,^CNXENERGY,-4.230780833323278,1.0,1.0,1.0963302761171303,40.57971014492754,0.7696404387189797,0.0,3.3594967858040263,-2.7730949932962305,6.132591779100257,244.07955908361555,243.71755784460788,1.0,AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK.NS,37.726816039267,,7.943525968813718,0.8695642922077612,ok,-3.2258064516129057,10.714285714285703,-13.940092165898609,-3.9752032949451572,23.273424572077868,-27.248627867023025,ok,,,,,,,missing,False,91.83,81.75999999999999,87.8,100.0,93.2,91.051,Watch,20.0,10.0,0.0,5.0,0.0,10.0,8.175999999999998,5.0,0.0,58.176,Category C: Watchlist,🟢,,,,🟢,🟢,32.07659797723577,93.2,10,🟢,0.0,0.0,,10,🟢,2.0,10,🟢,0.0,0.0,,,96.8,🟢,1.59,5.89,,,,,,,,,31-MAR-2026,ok,,,,,0.0,,NSE500
BALRAMCHIN.NS,711.4500122070312,383731963.0,0.7741439629644016,0.25941684249149066,0.0673239520033251,96.03320921115002,0.0,0.0,0.1920897106458022,0.09141677411278423,10.954359142896985,84.93095986504503,11.102249346104998,32.498369686733184,🟢,accelerating_but_price_moved,0.3009352907474919,0.3009352907474919,1.0,25.498320968035415,,no_obv_signal,5455738699.813904,20.361535074827543,19.61295413707984,0.748580937747704,0.0,0.0,51.65133612051716,38.9099081230646,12.741427997452561,1.0,628.7420408141797,1.0,685.9755735824012,1.0,1.0,540.3573597790327,690.3117472728272,675.4101118142448,1.0,31.11136100052225,0.0,31.479525233679762,63.31544048588551,1.0,24.046246246267344,50.07189202058571,^CNXFMCG,-7.254590685705456,1.0,1.0,2.256857438067844,97.61904761904762,0.665849240967853,0.0,42.194091167906095,22.380132290819752,19.813958877086343,541.2133647756398,485.23627280461415,1.0,BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,10.358306704292541,10.022982786229306,11.792224574447307,0.7660587716998485,ok,40.501792114695334,110.56603773584908,-70.06424562115374,10.306770152078442,-12.966850961662196,23.27362111374064,ok,3.8063918509783994,,,,,,missing,False,91.07162322390249,89.32,79.4,100.0,93.0,91.04548696717075,Watch,10.0,15.0,0.0,5.0,0.0,10.0,8.931999999999999,5.0,0.0,53.932,Category C: Watchlist,,🟢,,,🟢,🟢,31.11136100052225,93.0,10,🟢,0.0,0.0,,10,🟢,4.0,0,,0.0,0.0,,🟢,64.0,,25.540000000000003,0.0,,,,,,,,,03-JUN-2026,ok,,,,,10.0,,NSE500
